LIIF Training — 2026-05-26 22:58:58
Config: {'model': 'liif', 'encoder': 'edsr', 'encoder_args': {'n_feats': 64, 'n_resblocks': 16}, 'liif_args': {'feat_dim': 64, 'hidden_dim': 256, 'local_ensemble': True, 'feat_unfold': True, 'cell_decode': True}, 'train_hr': 'data/DIV2K/DIV2K_train_HR', 'val_hr': 'data/DIV2K/DIV2K_valid_HR', 'patch_size': 48, 'scale_min': 1.0, 'scale_max': 4.0, 'sample_q': 2304, 'val_scale': 4, 'val_batch_q': 30000, 'epochs': 500, 'batch_size': 16, 'lr': 0.0001, 'opt': 'adam', 'crit': 'l1', 'scheduler': 'multi_step', 'milestones': [200, 400], 'gamma': 0.5, 'save_dir': 'experiments/liif_edsr'}
Parameters: 1,530,371
============================================================
[Epoch 096/500] loss=0.018805 | val_psnr(x4)=27.92 dB | lr=1.00e-04 | time=104.4s
[Epoch 097/500] loss=0.019241 | val_psnr(x4)=27.92 dB | lr=1.00e-04 | time=104.4s
[Epoch 098/500] loss=0.018332 | val_psnr(x4)=27.94 dB | lr=1.00e-04 | time=102.3s
[Epoch 099/500] loss=0.018961 | val_psnr(x4)=27.77 dB | lr=1.00e-04 | time=102.6s
[Epoch 100/500] loss=0.019238 | val_psnr(x4)=27.96 dB | lr=1.00e-04 | time=103.0s
[Epoch 101/500] loss=0.018354 | val_psnr(x4)=27.93 dB | lr=1.00e-04 | time=102.5s
[Epoch 102/500] loss=0.018959 | val_psnr(x4)=27.91 dB | lr=1.00e-04 | time=101.9s
[Epoch 103/500] loss=0.018859 | val_psnr(x4)=27.65 dB | lr=1.00e-04 | time=103.1s
[Epoch 104/500] loss=0.019109 | val_psnr(x4)=27.95 dB | lr=1.00e-04 | time=102.6s
[Epoch 105/500] loss=0.018659 | val_psnr(x4)=27.98 dB | lr=1.00e-04 | time=102.2s
[Epoch 106/500] loss=0.019277 | val_psnr(x4)=27.97 dB | lr=1.00e-04 | time=102.1s
[Epoch 107/500] loss=0.018790 | val_psnr(x4)=27.81 dB | lr=1.00e-04 | time=101.6s
[Epoch 108/500] loss=0.018616 | val_psnr(x4)=28.00 dB | lr=1.00e-04 | time=102.7s
[Epoch 109/500] loss=0.018693 | val_psnr(x4)=27.90 dB | lr=1.00e-04 | time=102.4s
[Epoch 110/500] loss=0.018660 | val_psnr(x4)=27.81 dB | lr=1.00e-04 | time=102.4s
[Epoch 111/500] loss=0.018824 | val_psnr(x4)=28.02 dB | lr=1.00e-04 | time=103.1s
[Epoch 112/500] loss=0.018376 | val_psnr(x4)=27.93 dB | lr=1.00e-04 | time=103.8s
[Epoch 113/500] loss=0.018697 | val_psnr(x4)=28.03 dB | lr=1.00e-04 | time=102.6s
[Epoch 114/500] loss=0.018573 | val_psnr(x4)=28.01 dB | lr=1.00e-04 | time=103.1s
[Epoch 115/500] loss=0.019196 | val_psnr(x4)=27.82 dB | lr=1.00e-04 | time=102.4s
[Epoch 116/500] loss=0.018825 | val_psnr(x4)=27.93 dB | lr=1.00e-04 | time=102.4s
[Epoch 117/500] loss=0.018823 | val_psnr(x4)=27.91 dB | lr=1.00e-04 | time=102.1s
[Epoch 118/500] loss=0.018300 | val_psnr(x4)=27.91 dB | lr=1.00e-04 | time=102.2s
[Epoch 119/500] loss=0.018577 | val_psnr(x4)=27.95 dB | lr=1.00e-04 | time=102.0s
[Epoch 120/500] loss=0.018550 | val_psnr(x4)=28.05 dB | lr=1.00e-04 | time=102.2s
[Epoch 121/500] loss=0.018217 | val_psnr(x4)=27.95 dB | lr=1.00e-04 | time=101.9s
[Epoch 122/500] loss=0.019201 | val_psnr(x4)=28.07 dB | lr=1.00e-04 | time=102.4s
[Epoch 123/500] loss=0.018269 | val_psnr(x4)=28.07 dB | lr=1.00e-04 | time=101.7s
[Epoch 124/500] loss=0.018590 | val_psnr(x4)=27.92 dB | lr=1.00e-04 | time=104.9s
[Epoch 125/500] loss=0.019258 | val_psnr(x4)=27.90 dB | lr=1.00e-04 | time=102.4s
[Epoch 126/500] loss=0.018609 | val_psnr(x4)=27.97 dB | lr=1.00e-04 | time=102.0s
[Epoch 127/500] loss=0.018053 | val_psnr(x4)=28.02 dB | lr=1.00e-04 | time=102.8s
[Epoch 128/500] loss=0.018007 | val_psnr(x4)=28.05 dB | lr=1.00e-04 | time=101.9s
[Epoch 129/500] loss=0.018307 | val_psnr(x4)=28.04 dB | lr=1.00e-04 | time=101.9s
[Epoch 130/500] loss=0.018564 | val_psnr(x4)=28.01 dB | lr=1.00e-04 | time=102.2s
[Epoch 131/500] loss=0.018671 | val_psnr(x4)=28.04 dB | lr=1.00e-04 | time=101.5s
[Epoch 132/500] loss=0.018255 | val_psnr(x4)=28.08 dB | lr=1.00e-04 | time=101.8s
[Epoch 133/500] loss=0.018346 | val_psnr(x4)=27.97 dB | lr=1.00e-04 | time=103.1s
[Epoch 134/500] loss=0.018552 | val_psnr(x4)=28.09 dB | lr=1.00e-04 | time=104.6s
[Epoch 135/500] loss=0.018720 | val_psnr(x4)=28.11 dB | lr=1.00e-04 | time=102.8s
[Epoch 136/500] loss=0.018278 | val_psnr(x4)=28.11 dB | lr=1.00e-04 | time=102.2s
[Epoch 137/500] loss=0.018898 | val_psnr(x4)=28.05 dB | lr=1.00e-04 | time=102.1s
[Epoch 138/500] loss=0.017883 | val_psnr(x4)=28.15 dB | lr=1.00e-04 | time=102.2s
[Epoch 139/500] loss=0.018859 | val_psnr(x4)=28.14 dB | lr=1.00e-04 | time=103.0s
[Epoch 140/500] loss=0.018246 | val_psnr(x4)=28.06 dB | lr=1.00e-04 | time=102.5s
[Epoch 141/500] loss=0.018718 | val_psnr(x4)=28.10 dB | lr=1.00e-04 | time=101.4s
[Epoch 142/500] loss=0.018017 | val_psnr(x4)=28.10 dB | lr=1.00e-04 | time=102.0s
[Epoch 143/500] loss=0.018220 | val_psnr(x4)=28.06 dB | lr=1.00e-04 | time=102.1s
[Epoch 144/500] loss=0.018095 | val_psnr(x4)=28.03 dB | lr=1.00e-04 | time=102.6s
[Epoch 145/500] loss=0.018358 | val_psnr(x4)=28.14 dB | lr=1.00e-04 | time=102.0s
[Epoch 146/500] loss=0.017749 | val_psnr(x4)=28.15 dB | lr=1.00e-04 | time=104.5s
[Epoch 147/500] loss=0.018366 | val_psnr(x4)=28.14 dB | lr=1.00e-04 | time=102.2s
[Epoch 148/500] loss=0.018177 | val_psnr(x4)=28.01 dB | lr=1.00e-04 | time=101.6s
[Epoch 149/500] loss=0.018866 | val_psnr(x4)=28.16 dB | lr=1.00e-04 | time=102.4s
[Epoch 150/500] loss=0.018190 | val_psnr(x4)=28.02 dB | lr=1.00e-04 | time=102.4s
[Epoch 151/500] loss=0.018166 | val_psnr(x4)=28.18 dB | lr=1.00e-04 | time=102.3s
[Epoch 152/500] loss=0.018130 | val_psnr(x4)=28.17 dB | lr=1.00e-04 | time=102.4s
[Epoch 153/500] loss=0.018248 | val_psnr(x4)=28.12 dB | lr=1.00e-04 | time=101.9s
[Epoch 154/500] loss=0.017637 | val_psnr(x4)=28.13 dB | lr=1.00e-04 | time=102.1s
[Epoch 155/500] loss=0.017859 | val_psnr(x4)=28.03 dB | lr=1.00e-04 | time=102.0s
[Epoch 156/500] loss=0.018009 | val_psnr(x4)=28.15 dB | lr=1.00e-04 | time=102.0s
[Epoch 157/500] loss=0.018125 | val_psnr(x4)=28.16 dB | lr=1.00e-04 | time=102.1s
[Epoch 158/500] loss=0.017900 | val_psnr(x4)=28.07 dB | lr=1.00e-04 | time=102.1s
[Epoch 159/500] loss=0.018359 | val_psnr(x4)=28.15 dB | lr=1.00e-04 | time=104.4s
[Epoch 160/500] loss=0.018349 | val_psnr(x4)=28.17 dB | lr=1.00e-04 | time=102.0s
[Epoch 161/500] loss=0.017837 | val_psnr(x4)=27.98 dB | lr=1.00e-04 | time=102.2s
[Epoch 162/500] loss=0.017941 | val_psnr(x4)=27.99 dB | lr=1.00e-04 | time=102.2s
[Epoch 163/500] loss=0.018468 | val_psnr(x4)=28.19 dB | lr=1.00e-04 | time=103.0s
[Epoch 164/500] loss=0.018277 | val_psnr(x4)=28.19 dB | lr=1.00e-04 | time=102.7s
[Epoch 165/500] loss=0.018785 | val_psnr(x4)=28.17 dB | lr=1.00e-04 | time=102.1s
[Epoch 166/500] loss=0.017996 | val_psnr(x4)=28.15 dB | lr=1.00e-04 | time=102.7s
[Epoch 167/500] loss=0.017817 | val_psnr(x4)=28.15 dB | lr=1.00e-04 | time=102.3s
[Epoch 168/500] loss=0.018629 | val_psnr(x4)=28.14 dB | lr=1.00e-04 | time=102.6s
[Epoch 169/500] loss=0.018197 | val_psnr(x4)=28.09 dB | lr=1.00e-04 | time=102.3s
[Epoch 170/500] loss=0.018772 | val_psnr(x4)=28.22 dB | lr=1.00e-04 | time=102.3s
[Epoch 171/500] loss=0.017924 | val_psnr(x4)=28.16 dB | lr=1.00e-04 | time=103.7s
[Epoch 172/500] loss=0.018422 | val_psnr(x4)=28.17 dB | lr=1.00e-04 | time=102.1s
[Epoch 173/500] loss=0.017432 | val_psnr(x4)=28.21 dB | lr=1.00e-04 | time=104.2s
[Epoch 174/500] loss=0.018016 | val_psnr(x4)=28.23 dB | lr=1.00e-04 | time=103.5s
[Epoch 175/500] loss=0.018197 | val_psnr(x4)=28.13 dB | lr=1.00e-04 | time=103.4s
[Epoch 176/500] loss=0.018055 | val_psnr(x4)=28.06 dB | lr=1.00e-04 | time=102.6s
[Epoch 177/500] loss=0.018148 | val_psnr(x4)=28.20 dB | lr=1.00e-04 | time=103.0s
[Epoch 178/500] loss=0.018263 | val_psnr(x4)=28.21 dB | lr=1.00e-04 | time=102.6s
[Epoch 179/500] loss=0.018154 | val_psnr(x4)=28.22 dB | lr=1.00e-04 | time=102.4s
[Epoch 180/500] loss=0.017964 | val_psnr(x4)=28.21 dB | lr=1.00e-04 | time=102.9s
[Epoch 181/500] loss=0.018088 | val_psnr(x4)=28.25 dB | lr=1.00e-04 | time=103.0s
[Epoch 182/500] loss=0.018349 | val_psnr(x4)=28.19 dB | lr=1.00e-04 | time=102.7s
[Epoch 183/500] loss=0.018313 | val_psnr(x4)=28.21 dB | lr=1.00e-04 | time=102.9s
[Epoch 184/500] loss=0.018264 | val_psnr(x4)=28.09 dB | lr=1.00e-04 | time=102.5s
[Epoch 185/500] loss=0.018513 | val_psnr(x4)=28.25 dB | lr=1.00e-04 | time=102.7s
[Epoch 186/500] loss=0.018335 | val_psnr(x4)=28.16 dB | lr=1.00e-04 | time=102.2s
[Epoch 187/500] loss=0.017733 | val_psnr(x4)=27.68 dB | lr=1.00e-04 | time=102.8s
[Epoch 188/500] loss=0.018035 | val_psnr(x4)=28.07 dB | lr=1.00e-04 | time=102.6s
[Epoch 189/500] loss=0.017762 | val_psnr(x4)=28.17 dB | lr=1.00e-04 | time=101.3s
[Epoch 190/500] loss=0.017574 | val_psnr(x4)=28.22 dB | lr=1.00e-04 | time=103.1s
[Epoch 191/500] loss=0.017632 | val_psnr(x4)=28.22 dB | lr=1.00e-04 | time=104.9s
[Epoch 192/500] loss=0.017587 | val_psnr(x4)=28.26 dB | lr=1.00e-04 | time=103.1s
[Epoch 193/500] loss=0.017951 | val_psnr(x4)=28.20 dB | lr=1.00e-04 | time=102.0s
[Epoch 194/500] loss=0.018353 | val_psnr(x4)=28.24 dB | lr=1.00e-04 | time=107.2s
[Epoch 195/500] loss=0.018329 | val_psnr(x4)=28.23 dB | lr=1.00e-04 | time=102.8s
[Epoch 196/500] loss=0.017638 | val_psnr(x4)=28.28 dB | lr=1.00e-04 | time=102.3s
[Epoch 197/500] loss=0.017729 | val_psnr(x4)=28.26 dB | lr=1.00e-04 | time=102.5s
[Epoch 198/500] loss=0.018200 | val_psnr(x4)=28.25 dB | lr=1.00e-04 | time=102.9s
[Epoch 199/500] loss=0.018534 | val_psnr(x4)=28.27 dB | lr=1.00e-04 | time=101.8s
[Epoch 200/500] loss=0.017654 | val_psnr(x4)=28.24 dB | lr=5.00e-05 | time=102.3s
[Epoch 201/500] loss=0.017102 | val_psnr(x4)=28.32 dB | lr=5.00e-05 | time=106.9s
[Epoch 202/500] loss=0.017757 | val_psnr(x4)=28.30 dB | lr=5.00e-05 | time=102.3s
[Epoch 203/500] loss=0.017668 | val_psnr(x4)=28.33 dB | lr=5.00e-05 | time=103.0s
[Epoch 204/500] loss=0.017457 | val_psnr(x4)=28.33 dB | lr=5.00e-05 | time=102.1s
[Epoch 205/500] loss=0.017481 | val_psnr(x4)=28.34 dB | lr=5.00e-05 | time=102.7s
[Epoch 206/500] loss=0.017198 | val_psnr(x4)=28.30 dB | lr=5.00e-05 | time=102.2s
[Epoch 207/500] loss=0.017474 | val_psnr(x4)=28.32 dB | lr=5.00e-05 | time=101.6s
[Epoch 208/500] loss=0.017215 | val_psnr(x4)=28.34 dB | lr=5.00e-05 | time=102.5s
